text,image_path,label
"The shared media has no connection to the disaster. According to reports, temporary hospitals treating victims. the statement does not relate to the current disaster situation. it contains no actionable or informative crisis data.",29.jpg,Irrelevant
"Verification teams note that According to reports, stock photo used in fake tweet. this appears to be unverified or false information spreading online. the content is either fabricated or taken out of context.",30.jpg,Misinformation
"Verification teams note that According to reports, survivors reunited with families. this appears to be unverified or false information spreading online. the content is either fabricated or taken out of context.",31.jpg,Misinformation
"Fact-checkers report: According to reports, edited image of destroyed building. this appears to be unverified or false information spreading online. the content is either fabricated or taken out of context.",32.jpg,Misinformation
"People in the area report that According to reports, doctors and nurses on full duty. immediate help is required as victims are in critical condition. people are in immediate danger and require urgent support.",33.jpg,Urgent Help
"This content does not relate to the current crisis. According to reports, this dog is enjoying his day. the statement does not relate to the current disaster situation. it contains no actionable or informative crisis data.",34.jpg,Irrelevant
"Calls for help indicate that According to reports, crowd-sourced map helps locate survivors. immediate help is required as victims are in critical condition. people are in immediate danger and require urgent support.",35.jpg,Urgent Help
"Aid workers confirm that According to reports, image altered using photoshop. relief efforts are ongoing, with distribution of supplies and support. resources like food, water, and medical aid are being distributed.",36.jpg,Relief Info
"Crisis update shows that According to reports, people trapped under rubble. immediate help is required as victims are in critical condition. people are in immediate danger and require urgent support.",37.jpg,Urgent Help
"This is unrelated background content. According to reports, this image is a digital artwork. the statement does not relate to the current disaster situation. it contains no actionable or informative crisis data.",38.jpg,Irrelevant
"Supplies have arrived and According to reports, local support groups helping out. relief efforts are ongoing, with distribution of supplies and support. resources like food, water, and medical aid are being distributed.",39.jpg,Relief Info
"Social media users have been misled by According to reports, nothing to worry about, fake alert. this appears to be unverified or false information spreading online. the content is either fabricated or taken out of context.",40.jpg,Misinformation
"Aid workers confirm that According to reports, distribution of medicines continues. relief efforts are ongoing, with distribution of supplies and support. resources like food, water, and medical aid are being distributed.",41.jpg,Relief Info
"Analysts mark this post as unrelated. According to reports, photo from unrelated traffic accident. the statement does not relate to the current disaster situation. it contains no actionable or informative crisis data.",42.jpg,Irrelevant
"This is unrelated background content. According to reports, crisis hotline numbers shared. the statement does not relate to the current disaster situation. it contains no actionable or informative crisis data.",43.jpg,Irrelevant
"Emergency alert: According to reports, joke image misused during floods. immediate help is required as victims are in critical condition. people are in immediate danger and require urgent support.",44.jpg,Urgent Help
"Emergency alert: According to reports, volunteers cleaning debris. immediate help is required as victims are in critical condition. people are in immediate danger and require urgent support.",45.jpg,Urgent Help
"This appears to be misinformation since According to reports, earthquake this appears to be unverified or false information spreading online. the content is either fabricated or taken out of context.",46.jpg,Misinformation
"Ongoing recovery operations reveal According to reports, temporary shelters built overnight. relief efforts are ongoing, with distribution of supplies and support. resources like food, water, and medical aid are being distributed.",47.jpg,Relief Info
"Crisis update shows that According to reports, no such event reported, fake tweet. immediate help is required as victims are in critical condition. people are in immediate danger and require urgent support.",48.jpg,Urgent Help
"Emergency alert: According to reports, massive support from global donors. immediate help is required as victims are in critical condition. people are in immediate danger and require urgent support.",49.jpg,Urgent Help
"Supplies have arrived and According to reports, family rescued after 48 hours. relief efforts are ongoing, with distribution of supplies and support. resources like food, water, and medical aid are being distributed.",50.jpg,Relief Info
